dexNum,id,form,name,starter,startercost,prevolution,eggTier,generation,spriteKey,formKey,hasVariants,category,type1,type2,ability1,ability2,hiddenAbility,passive,bst,hp,atk,def,spatk,spdef,spd,sublegend,legendary,mythical,weight,height,catchRate,friendship,baseExp,growthRate,maleRatio,genderDiffs,isStartSelectable,isUnobtainable,canChangeForm
6,CHARIZARD,G-Max,G-Max Charizard,CHARMANDER,,CHARMELEON,,1,6-gigantamax,gigantamax,true,Flame Pokémon,FIRE,FLYING,BERSERK,BERSERK,BERSERK,UNNERVE,634,118,99,88,134,95,100,false,false,false,90.5,1.7,45,50,267,MEDIUM_SLOW,87.5,false,false,false,
7,SQUIRTLE,,Squirtle,SQUIRTLE,3,,COMMON,1,7,,true,Tiny Turtle Pokémon,WATER,,TORRENT,TORRENT,RAIN_DISH,BULLETPROOF,314,44,48,65,50,64,43,false,false,false,9,0.5,45,50,63,MEDIUM_SLOW,87.5,false,false,,false
8,WARTORTLE,,Wartortle,SQUIRTLE,,SQUIRTLE,,1,8,,true,Turtle Pokémon,WATER,,TORRENT,TORRENT,RAIN_DISH,BULLETPROOF,405,59,63,80,65,80,58,false,false,false,22.5,1,45,50,142,MEDIUM_SLOW,87.5,false,false,,false
9,BLASTOISE,Normal,Blastoise,SQUIRTLE,,WARTORTLE,,1,9,,true,Shellfish Pokémon,WATER,,TORRENT,TORRENT,RAIN_DISH,BULLETPROOF,530,79,83,100,85,105,78,false,false,false,85.5,1.6,45,50,265,MEDIUM_SLOW,87.5,false,true,false,true
9,BLASTOISE,Mega,Mega Blastoise,SQUIRTLE,,WARTORTLE,,1,9-mega,mega,true,Shellfish Pokémon,WATER,,MEGA_LAUNCHER,MEGA_LAUNCHER,MEGA_LAUNCHER,BULLETPROOF,630,79,103,120,135,115,78,false,false,false,85.5,1.6,45,50,265,MEDIUM_SLOW,87.5,false,false,false,
9,BLASTOISE,G-Max,G-Max Blastoise,SQUIRTLE,,WARTORTLE,,1,9-gigantamax,gigantamax,true,Shellfish Pokémon,WATER,STEEL,SHELL_ARMOR,SHELL_ARMOR,SHELL_ARMOR,BULLETPROOF,630,119,108,125,105,110,63,false,false,false,85.5,1.6,45,50,265,MEDIUM_SLOW,87.5,false,false,false,
10,CATERPIE,,Caterpie,CATERPIE,2,,COMMON,1,10,,true,Worm Pokémon,BUG,,SHIELD_DUST,SHIELD_DUST,RUN_AWAY,GLUTTONY,195,45,30,35,20,20,45,false,false,false,2.9,0.3,255,50,39,MEDIUM_FAST,50,false,false,,false
11,METAPOD,,Metapod,CATERPIE,,CATERPIE,,1,11,,true,Cocoon Pokémon,BUG,,SHED_SKIN,SHED_SKIN,SHED_SKIN,STURDY,205,50,20,55,25,25,30,false,false,false,9.9,0.7,120,50,72,MEDIUM_FAST,50,false,false,,false
12,BUTTERFREE,Normal,Butterfree,CATERPIE,,METAPOD,,1,12,,true,Butterfly Pokémon,BUG,FLYING,COMPOUND_EYES,COMPOUND_EYES,TINTED_LENS,MAGICIAN,395,60,45,50,90,80,70,false,false,false,32,1.1,45,50,198,MEDIUM_FAST,50,true,true,false,true
12,BUTTERFREE,G-Max,G-Max Butterfree,CATERPIE,,METAPOD,,1,12-gigantamax,gigantamax,true,Butterfly Pokémon,BUG,FLYING,COMPOUND_EYES,COMPOUND_EYES,COMPOUND_EYES,MAGICIAN,495,80,40,75,120,95,85,false,false,false,32,1.1,45,50,198,MEDIUM_FAST,50,true,false,false,
13,WEEDLE,,Weedle,WEEDLE,1,,COMMON,1,13,,true,Hairy Bug Pokémon,BUG,POISON,SHIELD_DUST,SHIELD_DUST,RUN_AWAY,POISON_POINT,195,40,35,30,20,20,50,false,false,false,3.2,0.3,255,70,39,MEDIUM_FAST,50,false,false,,false
14,KAKUNA,,Kakuna,WEEDLE,,WEEDLE,,1,14,,true,Cocoon Pokémon,BUG,POISON,SHED_SKIN,SHED_SKIN,SHED_SKIN,STURDY,205,45,25,50,25,25,35,false,false,false,10,0.6,120,70,72,MEDIUM_FAST,50,false,false,,false
15,BEEDRILL,Normal,Beedrill,WEEDLE,,KAKUNA,,1,15,,true,Poison Bee Pokémon,BUG,POISON,SWARM,SWARM,SNIPER,ADAPTABILITY,395,65,90,40,45,80,75,false,false,false,29.5,1,45,70,198,MEDIUM_FAST,50,false,true,false,true
15,BEEDRILL,Mega,Mega Beedrill,WEEDLE,,KAKUNA,,1,15-mega,mega,true,Poison Bee Pokémon,BUG,POISON,ADAPTABILITY,ADAPTABILITY,ADAPTABILITY,TINTED_LENS,495,65,150,40,15,80,145,false,false,false,29.5,1,45,70,198,MEDIUM_FAST,50,false,false,false,
16,PIDGEY,,Pidgey,PIDGEY,2,,COMMON,1,16,,false,Tiny Bird Pokémon,NORMAL,FLYING,KEEN_EYE,TANGLED_FEET,BIG_PECKS,GALE_WINGS,251,40,45,40,35,35,56,false,false,false,1.8,0.3,255,70,50,MEDIUM_SLOW,50,false,false,,false
17,PIDGEOTTO,,Pidgeotto,PIDGEY,,PIDGEY,,1,17,,false,Bird Pokémon,NORMAL,FLYING,KEEN_EYE,TANGLED_FEET,BIG_PECKS,GALE_WINGS,349,63,60,55,50,50,71,false,false,false,30,1.1,120,70,122,MEDIUM_SLOW,50,false,false,,false
18,PIDGEOT,Normal,Pidgeot,PIDGEY,,PIDGEOTTO,,1,18,,false,Bird Pokémon,NORMAL,FLYING,KEEN_EYE,TANGLED_FEET,BIG_PECKS,SHEER_FORCE,479,83,80,75,70,70,101,false,false,false,39.5,1.5,45,70,240,MEDIUM_SLOW,50,false,true,false,true
18,PIDGEOT,Mega,Mega Pidgeot,PIDGEY,,PIDGEOTTO,,1,18-mega,mega,false,Bird Pokémon,NORMAL,FLYING,NO_GUARD,NO_GUARD,NO_GUARD,SHEER_FORCE,579,83,80,80,135,80,121,false,false,false,39.5,1.5,45,70,240,MEDIUM_SLOW,50,false,false,false,
19,RATTATA,,Rattata,RATTATA,1,,COMMON,1,19,,true,Mouse Pokémon,NORMAL,,RUN_AWAY,GUTS,HUSTLE,STRONG_JAW,253,30,56,35,25,35,72,false,false,false,3.5,0.3,255,70,51,MEDIUM_FAST,50,true,false,,false
20,RATICATE,,Raticate,RATTATA,,RATTATA,,1,20,,true,Mouse Pokémon,NORMAL,,RUN_AWAY,GUTS,HUSTLE,STRONG_JAW,413,55,81,60,50,70,97,false,false,false,18.5,0.7,127,70,145,MEDIUM_FAST,50,true,false,,false
21,SPEAROW,,Spearow,SPEAROW,1,,COMMON,1,21,,true,Tiny Bird Pokémon,NORMAL,FLYING,KEEN_EYE,KEEN_EYE,SNIPER,SPEED_BOOST,262,40,60,30,31,31,70,false,false,false,2,0.3,255,70,52,MEDIUM_FAST,50,false,false,,false
22,FEAROW,,Fearow,SPEAROW,,SPEAROW,,1,22,,true,Beak Pokémon,NORMAL,FLYING,KEEN_EYE,KEEN_EYE,SNIPER,SPEED_BOOST,442,65,90,65,61,61,100,false,false,false,38,1.2,90,70,155,MEDIUM_FAST,50,false,false,,false
23,EKANS,,Ekans,EKANS,2,,COMMON,1,23,,true,Snake Pokémon,POISON,,INTIMIDATE,SHED_SKIN,UNNERVE,REGENERATOR,288,35,60,44,40,54,55,false,false,false,6.9,2,255,70,58,MEDIUM_FAST,50,false,false,,false
24,ARBOK,,Arbok,EKANS,,EKANS,,1,24,,true,Cobra Pokémon,POISON,,INTIMIDATE,SHED_SKIN,UNNERVE,REGENERATOR,448,60,95,69,65,79,80,false,false,false,65,3.5,90,70,157,MEDIUM_FAST,50,false,false,,false
25,PIKACHU,Normal,Pikachu,PICHU,4,PICHU,,1,25,,true,Mouse Pokémon,ELECTRIC,,STATIC,STATIC,LIGHTNING_ROD,TRANSISTOR,320,35,55,40,50,50,90,false,false,false,6,0.4,190,50,112,MEDIUM_FAST,50,true,true,false,true
25,PIKACHU,Partner,Pikachu,PICHU,,PICHU,,1,25-partner,partner,true,Mouse Pokémon,ELECTRIC,,STATIC,STATIC,LIGHTNING_ROD,STURDY,430,45,80,50,75,60,120,false,false,false,6,0.4,190,50,112,MEDIUM_FAST,50,true,true,false,
25,PIKACHU,Cosplay,Pikachu,PICHU,,PICHU,,1,25-cosplay,cosplay,true,Mouse Pokémon,ELECTRIC,,STATIC,STATIC,LIGHTNING_ROD,COSTAR,430,45,80,50,75,60,120,false,false,false,6,0.4,190,50,112,MEDIUM_FAST,50,true,true,false,
25,PIKACHU,Cool Cosplay,Pikachu,PICHU,,PICHU,,1,25-cool-cosplay,cool-cosplay,true,Mouse Pokémon,ELECTRIC,,STATIC,STATIC,LIGHTNING_ROD,IRON_FIST,430,45,80,50,75,60,120,false,false,false,6,0.4,190,50,112,MEDIUM_FAST,50,true,true,false,
25,PIKACHU,Beauty Cosplay,Pikachu,PICHU,,PICHU,,1,25-beauty-cosplay,beauty-cosplay,true,Mouse Pokémon,ELECTRIC,,STATIC,STATIC,LIGHTNING_ROD,QUEENLY_MAJESTY,430,45,80,50,75,60,120,false,false,false,6,0.4,190,50,112,MEDIUM_FAST,50,true,true,false,
25,PIKACHU,Cute Cosplay,Pikachu,PICHU,,PICHU,,1,25-cute-cosplay,cute-cosplay,true,Mouse Pokémon,ELECTRIC,,STATIC,STATIC,LIGHTNING_ROD,MISTY_SURGE,430,45,80,50,75,60,120,false,false,false,6,0.4,190,50,112,MEDIUM_FAST,50,true,true,false,
25,PIKACHU,Smart Cosplay,Pikachu,PICHU,,PICHU,,1,25-smart-cosplay,smart-cosplay,true,Mouse Pokémon,ELECTRIC,,STATIC,STATIC,LIGHTNING_ROD,TINTED_LENS,430,45,80,50,75,60,120,false,false,false,6,0.4,190,50,112,MEDIUM_FAST,50,true,true,false,
25,PIKACHU,Tough Cosplay,Pikachu,PICHU,,PICHU,,1,25-tough-cosplay,tough-cosplay,true,Mouse Pokémon,ELECTRIC,,STATIC,STATIC,LIGHTNING_ROD,LIBERO,430,45,80,50,75,60,120,false,false,false,6,0.4,190,50,112,MEDIUM_FAST,50,true,true,false,
25,PIKACHU,G-Max,G-Max Pikachu,PICHU,,PICHU,,1,25-gigantamax,gigantamax,true,Mouse Pokémon,ELECTRIC,,LIGHTNING_ROD,LIGHTNING_ROD,LIGHTNING_ROD,THICK_FAT,530,125,95,60,90,70,90,false,false,false,6,0.4,190,50,112,MEDIUM_FAST,50,true,false,false,
26,RAICHU,Normal,Raichu,PICHU,,PIKACHU,,1,26,,true,Mouse Pokémon,ELECTRIC,,STATIC,STATIC,LIGHTNING_ROD,TRANSISTOR,485,60,90,55,90,80,110,false,false,false,30,0.8,75,50,243,MEDIUM_FAST,50,true,true,false,true
26,RAICHU,Mega X,Mega Raichu X,PICHU,,PIKACHU,,1,26-mega-x,mega-x,true,Mouse Pokémon,ELECTRIC,,ELECTRIC_SURGE,ELECTRIC_SURGE,ELECTRIC_SURGE,MAGIC_GUARD,585,60,135,95,90,95,110,false,false,false,30,0.8,75,50,243,MEDIUM_FAST,50,true,false,false,
26,RAICHU,Mega Y,Mega Raichu Y,PICHU,,PIKACHU,,1,26-mega-y,mega-y,true,Mouse Pokémon,ELECTRIC,,NO_GUARD,NO_GUARD,NO_GUARD,TERAVOLT,585,60,100,55,160,80,130,false,false,false,30,0.8,75,50,243,MEDIUM_FAST,50,true,false,false,
27,SANDSHREW,,Sandshrew,SANDSHREW,2,,COMMON,1,27,,false,Mouse Pokémon,GROUND,,SAND_VEIL,SAND_VEIL,SAND_RUSH,SAND_STREAM,300,50,75,85,20,30,40,false,false,false,12,0.6,255,50,60,MEDIUM_FAST,50,false,false,,false
28,SANDSLASH,,Sandslash,SANDSHREW,,SANDSHREW,,1,28,,false,Mouse Pokémon,GROUND,,SAND_VEIL,SAND_VEIL,SAND_RUSH,SAND_STREAM,450,75,100,110,45,55,65,false,false,false,29.5,1,90,50,158,MEDIUM_FAST,50,false,false,,false
29,NIDORAN_F,,Nidoran♀,NIDORAN_F,3,,COMMON,1,29,,true,Poison Pin Pokémon,POISON,,POISON_POINT,RIVALRY,HUSTLE,TOXIC_DEBRIS,275,55,47,52,40,40,41,false,false,false,7,0.4,235,50,55,MEDIUM_SLOW,0,false,false,,false
30,NIDORINA,,Nidorina,NIDORAN_F,,NIDORAN_F,,1,30,,true,Poison Pin Pokémon,POISON,,POISON_POINT,RIVALRY,HUSTLE,TOXIC_DEBRIS,365,70,62,67,55,55,56,false,false,false,20,0.8,120,50,128,MEDIUM_SLOW,0,false,false,,false
31,NIDOQUEEN,,Nidoqueen,NIDORAN_F,,NIDORINA,,1,31,,true,Drill Pokémon,POISON,GROUND,POISON_POINT,RIVALRY,SHEER_FORCE,TOXIC_DEBRIS,505,90,92,87,75,85,76,false,false,false,60,1.3,45,50,253,MEDIUM_SLOW,0,false,false,,false
32,NIDORAN_M,,Nidoran♂,NIDORAN_M,3,,COMMON,1,32,,true,Poison Pin Pokémon,POISON,,POISON_POINT,RIVALRY,HUSTLE,GUTS,273,46,57,40,40,40,50,false,false,false,9,0.5,235,50,55,MEDIUM_SLOW,100,false,false,,false
33,NIDORINO,,Nidorino,NIDORAN_M,,NIDORAN_M,,1,33,,true,Poison Pin Pokémon,POISON,,POISON_POINT,RIVALRY,HUSTLE,GUTS,365,61,72,57,55,55,65,false,false,false,19.5,0.9,120,50,128,MEDIUM_SLOW,100,false,false,,false
34,NIDOKING,,Nidoking,NIDORAN_M,,NIDORINO,,1,34,,true,Drill Pokémon,POISON,GROUND,POISON_POINT,RIVALRY,SHEER_FORCE,GUTS,505,81,102,77,85,75,85,false,false,false,62,1.4,45,50,253,MEDIUM_SLOW,100,false,false,,false
35,CLEFAIRY,,Clefairy,CLEFFA,,CLEFFA,,1,35,,true,Fairy Pokémon,FAIRY,,CUTE_CHARM,MAGIC_GUARD,FRIEND_GUARD,PRANKSTER,323,70,45,48,60,65,35,false,false,false,7.5,0.6,150,140,113,FAST,25,false,false,,false
36,CLEFABLE,Normal,Clefable,CLEFFA,,CLEFAIRY,,1,36,,true,Fairy Pokémon,FAIRY,,CUTE_CHARM,MAGIC_GUARD,UNAWARE,NEUROFORCE,483,95,70,73,95,90,60,false,false,false,40,1.3,25,140,242,FAST,25,false,true,false,true
36,CLEFABLE,Mega,Mega Clefable,CLEFFA,,CLEFAIRY,,1,36-mega,mega,true,Fairy Pokémon,FAIRY,FLYING,MAGIC_BOUNCE,MAGIC_BOUNCE,MAGIC_BOUNCE,UNAWARE,583,95,80,93,135,110,70,false,false,false,40,1.3,25,140,242,FAST,25,false,false,false,
37,VULPIX,,Vulpix,VULPIX,3,,COMMON,1,37,,true,Fox Pokémon,FIRE,,FLASH_FIRE,FLASH_FIRE,DROUGHT,FUR_COAT,299,38,41,40,50,65,65,false,false,false,9.9,0.6,190,50,60,MEDIUM_FAST,25,false,false,,false
38,NINETALES,,Ninetales,VULPIX,,VULPIX,,1,38,,true,Fox Pokémon,FIRE,,FLASH_FIRE,FLASH_FIRE,DROUGHT,FUR_COAT,505,73,76,75,81,100,100,false,false,false,19.9,1.1,75,50,177,MEDIUM_FAST,25,false,false,,false
39,JIGGLYPUFF,,Jigglypuff,IGGLYBUFF,,IGGLYBUFF,,1,39,,true,Balloon Pokémon,NORMAL,FAIRY,CUTE_CHARM,COMPETITIVE,FRIEND_GUARD,HUGE_POWER,270,115,45,20,45,25,20,false,false,false,5.5,0.5,170,50,95,FAST,25,false,false,,false
40,WIGGLYTUFF,,Wigglytuff,IGGLYBUFF,,JIGGLYPUFF,,1,40,,true,Balloon Pokémon,NORMAL,FAIRY,CUTE_CHARM,COMPETITIVE,FRISK,HUGE_POWER,435,140,70,45,85,50,45,false,false,false,12,1,50,50,218,FAST,25,false,false,,false
41,ZUBAT,,Zubat,ZUBAT,3,,COMMON,1,41,,true,Bat Pokémon,POISON,FLYING,INNER_FOCUS,INNER_FOCUS,INFILTRATOR,INTIMIDATE,245,40,45,35,30,40,55,false,false,false,7.5,0.8,255,50,49,MEDIUM_FAST,50,true,false,,false
42,GOLBAT,,Golbat,ZUBAT,,ZUBAT,,1,42,,true,Bat Pokémon,POISON,FLYING,INNER_FOCUS,INNER_FOCUS,INFILTRATOR,INTIMIDATE,455,75,80,70,65,75,90,false,false,false,55,1.6,90,50,159,MEDIUM_FAST,50,true,false,,false
43,ODDISH,,Oddish,ODDISH,3,,COMMON,1,43,,true,Weed Pokémon,GRASS,POISON,CHLOROPHYLL,CHLOROPHYLL,RUN_AWAY,TRIAGE,320,45,50,55,75,65,30,false,false,false,5.4,0.5,255,50,64,MEDIUM_SLOW,50,false,false,,false
44,GLOOM,,Gloom,ODDISH,,ODDISH,,1,44,,true,Weed Pokémon,GRASS,POISON,CHLOROPHYLL,CHLOROPHYLL,STENCH,TRIAGE,395,60,65,70,85,75,40,false,false,false,8.6,0.8,120,50,138,MEDIUM_SLOW,50,true,false,,false
45,VILEPLUME,,Vileplume,ODDISH,,GLOOM,,1,45,,true,Flower Pokémon,GRASS,POISON,CHLOROPHYLL,CHLOROPHYLL,EFFECT_SPORE,TRIAGE,490,75,80,85,110,90,50,false,false,false,18.6,1.2,45,50,245,MEDIUM_SLOW,50,true,false,,false
46,PARAS,,Paras,PARAS,2,,COMMON,1,46,,true,Mushroom Pokémon,BUG,GRASS,EFFECT_SPORE,DRY_SKIN,DAMP,TRIAGE,285,35,70,55,45,55,25,false,false,false,5.4,0.3,190,70,57,MEDIUM_FAST,50,false,false,,false
47,PARASECT,,Parasect,PARAS,,PARAS,,1,47,,true,Mushroom Pokémon,BUG,GRASS,EFFECT_SPORE,DRY_SKIN,DAMP,TRIAGE,405,60,95,80,60,80,30,false,false,false,29.5,1,75,70,142,MEDIUM_FAST,50,false,false,,false
48,VENONAT,,Venonat,VENONAT,2,,COMMON,1,48,,true,Insect Pokémon,BUG,POISON,COMPOUND_EYES,TINTED_LENS,RUN_AWAY,FLUFFY,305,60,55,50,40,55,45,false,false,false,30,1,190,70,61,MEDIUM_FAST,50,false,false,,false
49,VENOMOTH,,Venomoth,VENONAT,,VENONAT,,1,49,,true,Poison Moth Pokémon,BUG,POISON,SHIELD_DUST,TINTED_LENS,WONDER_SKIN,SIMPLE,450,70,65,60,90,75,90,false,false,false,12.5,1.5,75,70,158,MEDIUM_FAST,50,false,false,,false
50,DIGLETT,,Diglett,DIGLETT,2,,COMMON,1,50,,true,Mole Pokémon,GROUND,,SAND_VEIL,ARENA_TRAP,SAND_FORCE,STURDY,265,10,55,25,35,45,95,false,false,false,0.8,0.2,255,50,53,MEDIUM_FAST,50,false,false,,false
51,DUGTRIO,,Dugtrio,DIGLETT,,DIGLETT,,1,51,,true,Mole Pokémon,GROUND,,SAND_VEIL,ARENA_TRAP,SAND_FORCE,STURDY,425,35,100,50,50,70,120,false,false,false,33.3,0.7,50,50,149,MEDIUM_FAST,50,false,false,,false
52,MEOWTH,Normal,Meowth,MEOWTH,3,,COMMON,1,52,,true,Scratch Cat Pokémon,NORMAL,,PICKUP,TECHNICIAN,UNNERVE,TOUGH_CLAWS,290,40,45,35,40,40,90,false,false,false,4.2,0.4,255,50,58,MEDIUM_FAST,50,false,true,false,true
52,MEOWTH,G-Max,G-Max Meowth,MEOWTH,,,,1,52-gigantamax,gigantamax,true,Scratch Cat Pokémon,NORMAL,,TECHNICIAN,TECHNICIAN,TECHNICIAN,TOUGH_CLAWS,540,115,110,65,65,70,115,false,false,false,4.2,0.4,255,50,58,MEDIUM_FAST,50,false,false,false,
53,PERSIAN,,Persian,MEOWTH,,MEOWTH,,1,53,,true,Classy Cat Pokémon,NORMAL,,LIMBER,TECHNICIAN,UNNERVE,TOUGH_CLAWS,440,65,70,60,65,65,115,false,false,false,32,1,90,50,154,MEDIUM_FAST,50,false,false,,false
54,PSYDUCK,,Psyduck,PSYDUCK,2,,COMMON,1,54,,true,Duck Pokémon,WATER,,DAMP,CLOUD_NINE,SWIFT_SWIM,SIMPLE,320,50,52,48,65,50,55,false,false,false,19.6,0.8,190,50,64,MEDIUM_FAST,50,false,false,,false
55,GOLDUCK,,Golduck,PSYDUCK,,PSYDUCK,,1,55,,true,Duck Pokémon,WATER,,DAMP,CLOUD_NINE,SWIFT_SWIM,SIMPLE,500,80,82,78,95,80,85,false,false,false,76.6,1.7,75,50,175,MEDIUM_FAST,50,false,false,,false
56,MANKEY,,Mankey,MANKEY,4,,RARE,1,56,,true,Pig Monkey Pokémon,FIGHTING,,VITAL_SPIRIT,ANGER_POINT,DEFIANT,IRON_FIST,305,40,80,35,35,45,70,false,false,false,28,0.5,190,70,61,MEDIUM_FAST,50,false,false,,false
57,PRIMEAPE,,Primeape,MANKEY,,MANKEY,,1,57,,true,Pig Monkey Pokémon,FIGHTING,,VITAL_SPIRIT,ANGER_POINT,DEFIANT,IRON_FIST,455,65,105,60,60,70,95,false,false,false,32,1,75,70,159,MEDIUM_FAST,50,false,false,,false
58,GROWLITHE,,Growlithe,GROWLITHE,3,,RARE,1,58,,false,Puppy Pokémon,FIRE,,INTIMIDATE,FLASH_FIRE,JUSTIFIED,FLUFFY,350,55,70,45,70,50,60,false,false,false,19,0.7,190,50,70,SLOW,75,false,false,,false
59,ARCANINE,,Arcanine,GROWLITHE,,GROWLITHE,,1,59,,false,Legendary Pokémon,FIRE,,INTIMIDATE,FLASH_FIRE,JUSTIFIED,FLUFFY,555,90,110,80,100,80,95,false,false,false,155,1.9,75,50,194,SLOW,75,false,false,,false
60,POLIWAG,,Poliwag,POLIWAG,2,,COMMON,1,60,,false,Tadpole Pokémon,WATER,,WATER_ABSORB,DAMP,SWIFT_SWIM,NO_GUARD,300,40,50,40,40,40,90,false,false,false,12.4,0.6,255,50,60,MEDIUM_SLOW,50,false,false,,false
61,POLIWHIRL,,Poliwhirl,POLIWAG,,POLIWAG,,1,61,,false,Tadpole Pokémon,WATER,,WATER_ABSORB,DAMP,SWIFT_SWIM,NO_GUARD,385,65,65,65,50,50,90,false,false,false,20,1,120,50,135,MEDIUM_SLOW,50,false,false,,false
62,POLIWRATH,,Poliwrath,POLIWAG,,POLIWHIRL,,1,62,,false,Tadpole Pokémon,WATER,FIGHTING,WATER_ABSORB,DAMP,SWIFT_SWIM,NO_GUARD,510,90,95,95,70,90,70,false,false,false,54,1.3,45,50,255,MEDIUM_SLOW,50,false,false,,false
63,ABRA,,Abra,ABRA,4,,RARE,1,63,,false,Psi Pokémon,PSYCHIC,,SYNCHRONIZE,INNER_FOCUS,MAGIC_GUARD,COMATOSE,310,25,20,15,105,55,90,false,false,false,19.5,0.9,200,50,62,MEDIUM_SLOW,75,false,false,,false
64,KADABRA,,Kadabra,ABRA,,ABRA,,1,64,,false,Psi Pokémon,PSYCHIC,,SYNCHRONIZE,INNER_FOCUS,MAGIC_GUARD,MAGICIAN,400,40,35,30,120,70,105,false,false,false,56.5,1.3,100,50,140,MEDIUM_SLOW,75,true,false,,false
65,ALAKAZAM,Normal,Alakazam,ABRA,,KADABRA,,1,65,,false,Psi Pokémon,PSYCHIC,,SYNCHRONIZE,INNER_FOCUS,MAGIC_GUARD,MAGICIAN,500,55,50,45,135,95,120,false,false,false,48,1.5,50,50,250,MEDIUM_SLOW,75,true,true,false,true
65,ALAKAZAM,Mega,Mega Alakazam,ABRA,,KADABRA,,1,65-mega,mega,false,Psi Pokémon,PSYCHIC,,TRACE,TRACE,TRACE,MAGICIAN,600,55,50,65,175,105,150,false,false,false,48,1.5,50,50,250,MEDIUM_SLOW,75,true,false,false,
66,MACHOP,,Machop,MACHOP,3,,COMMON,1,66,,true,Superpower Pokémon,FIGHTING,,GUTS,NO_GUARD,STEADFAST,QUICK_FEET,305,70,80,50,35,35,35,false,false,false,19.5,0.8,180,50,61,MEDIUM_SLOW,75,false,false,,false
67,MACHOKE,,Machoke,MACHOP,,MACHOP,,1,67,,true,Superpower Pokémon,FIGHTING,,GUTS,NO_GUARD,STEADFAST,QUICK_FEET,405,80,100,70,50,60,45,false,false,false,70.5,1.5,90,50,142,MEDIUM_SLOW,75,false,false,,false
68,MACHAMP,Normal,Machamp,MACHOP,,MACHOKE,,1,68,,true,Superpower Pokémon,FIGHTING,,GUTS,NO_GUARD,STEADFAST,QUICK_FEET,505,90,130,80,65,85,55,false,false,false,130,1.6,45,50,253,MEDIUM_SLOW,75,false,true,false,true
