move,tier
TAUNT,COMMON
HELPING_HAND,COMMON
TRICK,COMMON
SUPERPOWER,ULTRA
RECYCLE,COMMON
REVENGE,GREAT
BRICK_BREAK,GREAT
KNOCK_OFF,ULTRA
ENDEAVOR,COMMON
SKILL_SWAP,COMMON
IMPRISON,COMMON
SECRET_POWER,GREAT
DIVE,GREAT
FEATHER_DANCE,COMMON
BLAZE_KICK,GREAT
HYPER_VOICE,ULTRA
BLAST_BURN,ULTRA
HYDRO_CANNON,ULTRA
WEATHER_BALL,COMMON
FAKE_TEARS,GREAT
AIR_CUTTER,COMMON
OVERHEAT,ULTRA
ROCK_TOMB,GREAT
SILVER_WIND,COMMON
METAL_SOUND,GREAT
COSMIC_POWER,GREAT
SIGNAL_BEAM,GREAT
SAND_TOMB,COMMON
MUDDY_WATER,GREAT
BULLET_SEED,GREAT
AERIAL_ACE,GREAT
ICICLE_SPEAR,GREAT
IRON_DEFENSE,GREAT
DRAGON_CLAW,GREAT
FRENZY_PLANT,ULTRA
BULK_UP,GREAT
BOUNCE,GREAT
MUD_SHOT,GREAT
POISON_TAIL,COMMON
COVET,GREAT
MAGICAL_LEAF,COMMON
CALM_MIND,GREAT
LEAF_BLADE,ULTRA
DRAGON_DANCE,GREAT
ROCK_BLAST,GREAT
SHOCK_WAVE,COMMON
WATER_PULSE,COMMON
ROOST,GREAT
GRAVITY,COMMON
GYRO_BALL,COMMON
BRINE,GREAT
PLUCK,GREAT
TAILWIND,GREAT
U_TURN,GREAT
CLOSE_COMBAT,ULTRA
PAYBACK,COMMON
ASSURANCE,COMMON
EMBARGO,COMMON
FLING,COMMON
GASTRO_ACID,GREAT
POWER_SWAP,COMMON
GUARD_SWAP,COMMON
WORRY_SEED,COMMON
TOXIC_SPIKES,GREAT
FLARE_BLITZ,ULTRA
AURA_SPHERE,GREAT
ROCK_POLISH,GREAT
POISON_JAB,GREAT
DARK_PULSE,GREAT
AQUA_TAIL,GREAT
SEED_BOMB,GREAT
AIR_SLASH,GREAT
X_SCISSOR,GREAT
BUG_BUZZ,GREAT
DRAGON_PULSE,GREAT
POWER_GEM,GREAT
DRAIN_PUNCH,GREAT
VACUUM_WAVE,COMMON
FOCUS_BLAST,ULTRA
ENERGY_BALL,GREAT
BRAVE_BIRD,ULTRA
EARTH_POWER,ULTRA
GIGA_IMPACT,ULTRA
NASTY_PLOT,GREAT
AVALANCHE,GREAT
SHADOW_CLAW,GREAT
THUNDER_FANG,GREAT
ICE_FANG,GREAT
FIRE_FANG,GREAT
PSYCHO_CUT,GREAT
ZEN_HEADBUTT,GREAT
FLASH_CANNON,GREAT
ROCK_CLIMB,GREAT
DEFOG,COMMON
TRICK_ROOM,COMMON
DRACO_METEOR,ULTRA
LEAF_STORM,ULTRA
POWER_WHIP,ULTRA
CROSS_POISON,GREAT
GUNK_SHOT,ULTRA
IRON_HEAD,GREAT
STONE_EDGE,ULTRA
STEALTH_ROCK,COMMON
GRASS_KNOT,GREAT
BUG_BITE,GREAT
CHARGE_BEAM,GREAT
OMINOUS_WIND,COMMON
HONE_CLAWS,COMMON
WONDER_ROOM,COMMON
PSYSHOCK,GREAT
VENOSHOCK,GREAT
MAGIC_ROOM,COMMON
SMACK_DOWN,COMMON
SLUDGE_WAVE,ULTRA
HEAVY_SLAM,GREAT
ELECTRO_BALL,GREAT
FLAME_CHARGE,GREAT
LOW_SWEEP,GREAT
ACID_SPRAY,COMMON
FOUL_PLAY,ULTRA
ROUND,COMMON
ECHOED_VOICE,COMMON
STORED_POWER,GREAT
ALLY_SWITCH,COMMON
SCALD,GREAT
HEX,GREAT
SKY_DROP,COMMON
INCINERATE,GREAT
QUASH,COMMON
ACROBATICS,GREAT
RETALIATE,GREAT
WATER_PLEDGE,GREAT
FIRE_PLEDGE,GREAT
GRASS_PLEDGE,GREAT
VOLT_SWITCH,GREAT
STRUGGLE_BUG,COMMON
BULLDOZE,GREAT
FROST_BREATH,GREAT
DRAGON_TAIL,GREAT
WORK_UP,COMMON
ELECTROWEB,GREAT
WILD_CHARGE,GREAT
DRILL_RUN,GREAT
RAZOR_SHELL,GREAT
HEAT_CRASH,GREAT
TAIL_SLAP,GREAT
HURRICANE,ULTRA
SNARL,COMMON
PHANTOM_FORCE,ULTRA
PETAL_BLIZZARD,GREAT
DISARMING_VOICE,COMMON
DRAINING_KISS,GREAT
GRASSY_TERRAIN,COMMON
MISTY_TERRAIN,COMMON
PLAY_ROUGH,GREAT
CONFIDE,COMMON
MYSTICAL_FIRE,GREAT
EERIE_IMPULSE,COMMON
VENOM_DRENCH,COMMON
ELECTRIC_TERRAIN,COMMON
DAZZLING_GLEAM,ULTRA
INFESTATION,COMMON
POWER_UP_PUNCH,GREAT
DARKEST_LARIAT,GREAT
HIGH_HORSEPOWER,ULTRA
SOLAR_BLADE,ULTRA
THROAT_CHOP,GREAT
POLLEN_PUFF,ULTRA
PSYCHIC_TERRAIN,COMMON
LUNGE,GREAT
SPEED_SWAP,COMMON
SMART_STRIKE,GREAT
BRUTAL_SWING,COMMON
AURORA_VEIL,COMMON
PSYCHIC_FANGS,GREAT
STOMPING_TANTRUM,GREAT
LIQUIDATION,ULTRA
BODY_PRESS,ULTRA
BREAKING_SWIPE,GREAT
STEEL_BEAM,ULTRA
EXPANDING_FORCE,GREAT
STEEL_ROLLER,GREAT
SCALE_SHOT,ULTRA
METEOR_BEAM,ULTRA
MISTY_EXPLOSION,GREAT
GRASSY_GLIDE,COMMON
RISING_VOLTAGE,GREAT
TERRAIN_PULSE,COMMON
SKITTER_SMACK,GREAT
BURNING_JEALOUSY,GREAT
LASH_OUT,GREAT
POLTERGEIST,ULTRA
CORROSIVE_GAS,COMMON
COACHING,COMMON
FLIP_TURN,COMMON
TRIPLE_AXEL,ULTRA
DUAL_WINGBEAT,GREAT
SCORCHING_SANDS,GREAT
TERA_BLAST,GREAT
ICE_SPINNER,GREAT
SNOWSCAPE,COMMON
POUNCE,COMMON
TRAILBLAZE,GREAT
CHILLING_WATER,COMMON
HARD_PRESS,GREAT
DRAGON_CHEER,COMMON
ALLURING_VOICE,GREAT
TEMPER_FLARE,GREAT
SUPERCELL_SLAM,ULTRA
PSYCHIC_NOISE,GREAT
UPPER_HAND,COMMON
